ntw	ntwType	slice	measure	measure_short	orig	maxe	anan	bara	dreh	hala	cimi	musm
"US02"	"CDS"	"us02_19092014.xlsx"	"# of links"	"links"	4230	401206	1298	401206	401206	686	4216	6564
"US02"	"CDS"	"us02_19092014.xlsx"	"Density"	"density"	.44179299	41.903073	.13556674	41.903073	41.903073	.07164775	.44033079	.68556246
"US02"	"CDS"	"us02_19092014.xlsx"	"Avg Degree"	"deg_ave"	4.3207354	409.81205	1.3258427	409.81205	409.81205	.70071502	4.3064351	6.7048008
"US02"	"CDS"	"us02_19092014.xlsx"	"Med Degree"	"deg_med"	2	506	1	506	506	0	1	2
"US02"	"CDS"	"us02_19092014.xlsx"	"Assortativity"	"assort"	-.80885842	-.42124402	-.45334223	-.42124402	-.42124402	-.07155325	-.49215945	-.46460657
"US02"	"CDS"	"us02_19092014.xlsx"	"Clustering"	"clust"	17.406387	34.411409	.01946892	34.411409	34.411409	0	15.629654	5.8274362
"US02"	"CDS"	"us02_19092014.xlsx"	"Lender Dep"	"dep_lend"	72.351666	14.637961	98.202919	15.548967	19.995681	91.072184	46.311743	57.667728
"US02"	"CDS"	"us02_19092014.xlsx"	"Borrower Dep"	"dep_borr"	74.557719	14.632147	96.859675	14.259781	16.35907	91.898627	46.033291	61.145884
"US02"	"CDS"	"us02_19092014.xlsx"	"Mean HHI Assets"	"hhi_ass_ave"	.52680788	.05637751	.78837085	.05798001	.0737281	.42216065	.21745367	.32818544
"US02"	"CDS"	"us02_19092014.xlsx"	"Median HHI Assets"	"hhi_ass_med"	.50277517	.06960821	1	.07074303	.08458716	0	.0700286	.19762924
"US02"	"CDS"	"us02_19092014.xlsx"	"Mean HHI Liabilities"	"hhi_liab_ave"	.35292615	.02490072	.49526355	.02380254	.03245211	.38911349	.128761	.35418691
"US02"	"CDS"	"us02_19092014.xlsx"	"Median HHI Liabilities"	"hhi_liab_med"	.1493413	.04801584	.50865083	.04390213	.03979381	0	0	.22402515
"US02"	"CDS"	"us02_19092014.xlsx"	"Core Size (% banks)"	"core"	1.6343207	34.525026	1.1235955	34.525026	34.525026	.30643514	2.4514811	3.4729316
"US02"	"CDS"	"us02_19092014.xlsx"	"Error score(% links)"	"error"	4.2553191	19.123842	39.599384	19.123842	19.123842	97.959184	26.115921	29.511965
"US02"	"CDS"	"us02_19092014.xlsx"	"Hamming"	"hamming"	0	396976	5026	396976	396976	4896	6068	8855.5
"US02"	"CDS"	"us02_19092014.xlsx"	"Jaccard"	"jaccard"	0	.98945679	.9524351	.98945679	.98945679	.99796168	.83595305	.90126725
"US02"	"CDS"	"us02_19092014.xlsx"	"Cosine"	"cosine"	0	.33184067	.63427112	.34220355	.39855057	.99982855	.32552905	.57767677
"US02"	"CDS"	"us02_19092014.xlsx"	"Jensen"	"jensen"	0	.59369629	.53513586	.60029379	.78975044	.16060242	.41218669	.34150119
"US02"	"CDS"	"us02_19092014.xlsx"	"True Positives"	"truepos"	100	100	5.9338061	100	100	.23640662	28.20331	22.978723
"US02"	"CDS"	"us02_19092014.xlsx"	"True Negatives"	"trueneg"	100	58.354734	99.890163	58.354734	58.354734	99.929083	99.682082	99.412945
"US02"	"CDS"	"us02_19092014.xlsx"	"False Positives"	"falsepos"	0	41.645266	.10983685	41.645266	41.645266	.07091663	.31791841	.58705541
"US02"	"CDS"	"us02_19092014.xlsx"	"False Negatives"	"falseneg"	0	0	94.066194	0	0	99.763593	71.79669	77.021277
"US02"	"CDS"	"us02_19092014.xlsx"	"Accuracy"	"accuracy"	100	58.53872	99.475071	58.53872	58.53872	99.488648	99.366241	99.075107
"US02"	"CDS"	"us02_19092014.xlsx"	"DebtRank_top1"	"DebtRank_top1"	1	0	0	0	0	0	0	0
"US02"	"CDS"	"us02_19092014.xlsx"	"DebtRank_top3"	"DebtRank_top3"	1	0	0	0	0	0	0	0
"US02"	"CDS"	"us02_19092014.xlsx"	"DebtRank_corr"	"DebtRank_corr"	1	.7578844	.1833475	.75737385	.75779843	-.17155651	.57751414	.31363449
"US02"	"CDS"	"us02_19092014.xlsx"	"LiqSF_top1"	"LiqSF_top1"	1	1	1	1	1	1	1	1
"US02"	"CDS"	"us02_19092014.xlsx"	"LiqSF_top3"	"LiqSF_top3"	1	1	1	1	1	1	1	1
